id,label,template_id
1,multi_driver,mdrv_1
2,clean,clean_10
3,missing_default,case_69
4,clean,clean_4
5,clean,clean_14
6,clean,clean_8
7,unused_signal,unused_19
8,width_mismatch,width_96
9,multi_driver,mdrv_76
10,syntax_error,syntax_56
11,missing_default,case_33
12,clean,clean_12
13,clean,clean_9
14,width_mismatch,width_14
15,missing_default,case_53
16,latch_inference,latch_63
17,comb_loop,loop_113
18,latch_inference,latch_33
19,syntax_error,syntax_13
20,width_mismatch,width_17
21,missing_default,case_19
22,comb_loop,loop_36
23,blocking_misuse,blocking_19
24,syntax_error,syntax_52
25,latch_inference,latch_62
26,blocking_misuse,blocking_57
27,comb_loop,loop_63
28,clean,clean_15
29,latch_inference,latch_78
30,width_mismatch,width_39
31,blocking_misuse,blocking_40
32,multi_driver,mdrv_97
33,clean,clean_18
34,width_mismatch,width_44
35,latch_inference,latch_47
36,multi_driver,mdrv_82
37,latch_inference,latch_26
38,blocking_misuse,blocking_62
39,width_mismatch,width_87
40,syntax_error,syntax_62
41,missing_default,case_67
42,missing_default,case_43
43,multi_driver,mdrv_53
44,clean,clean_10
45,clean,clean_3
46,width_mismatch,width_108
47,blocking_misuse,blocking_48
48,clean,clean_7
49,latch_inference,latch_67
50,latch_inference,latch_75
51,syntax_error,syntax_54
52,syntax_error,syntax_35
53,clean,clean_16
54,comb_loop,loop_94
55,clean,clean_7
56,comb_loop,loop_104
57,clean,clean_4
58,unused_signal,unused_13
59,blocking_misuse,blocking_24
60,clean,clean_10
61,clean,clean_0
62,clean,clean_1
63,latch_inference,latch_69
64,unused_signal,unused_109
65,comb_loop,loop_8
66,missing_default,case_7
67,clean,clean_1
68,comb_loop,loop_82
69,clean,clean_2
70,latch_inference,latch_79
71,clean,clean_5
72,syntax_error,syntax_32
73,clean,clean_15
74,clean,clean_12
75,clean,clean_6
76,syntax_error,syntax_17
77,clean,clean_15
78,unused_signal,unused_69
79,missing_default,case_33
80,width_mismatch,width_10
81,comb_loop,loop_37
82,clean,clean_13
83,syntax_error,syntax_71
84,comb_loop,loop_14
85,missing_default,case_1
86,comb_loop,loop_21
87,blocking_misuse,blocking_65
88,clean,clean_13
89,syntax_error,syntax_25
90,unused_signal,unused_57
91,comb_loop,loop_2
92,clean,clean_14
93,missing_default,case_1
94,missing_default,case_23
95,clean,clean_3
96,syntax_error,syntax_32
97,blocking_misuse,blocking_8
98,blocking_misuse,blocking_58
99,clean,clean_7
100,blocking_misuse,blocking_37
101,missing_default,case_27
102,clean,clean_8
103,clean,clean_13
104,clean,clean_18
105,latch_inference,latch_66
106,clean,clean_1
107,comb_loop,loop_10
108,clean,clean_9
109,clean,clean_4
110,missing_default,case_33
111,width_mismatch,width_94
112,blocking_misuse,blocking_77
113,missing_default,case_42
114,comb_loop,loop_4
115,clean,clean_12
116,missing_default,case_52
117,blocking_misuse,blocking_13
118,syntax_error,syntax_50
119,latch_inference,latch_74
120,latch_inference,latch_47
121,syntax_error,syntax_24
122,unused_signal,unused_43
123,clean,clean_3
124,syntax_error,syntax_73
125,clean,clean_4
126,latch_inference,latch_11
127,unused_signal,unused_99
128,latch_inference,latch_37
129,width_mismatch,width_33
130,clean,clean_8
131,width_mismatch,width_26
132,clean,clean_1
133,clean,clean_19
134,width_mismatch,width_115
135,multi_driver,mdrv_58
136,blocking_misuse,blocking_32
137,clean,clean_15
138,blocking_misuse,blocking_66
139,latch_inference,latch_43
140,clean,clean_18
141,width_mismatch,width_69
142,width_mismatch,width_63
143,missing_default,case_65
144,blocking_misuse,blocking_60
145,unused_signal,unused_89
146,comb_loop,loop_106
147,syntax_error,syntax_58
148,latch_inference,latch_39
149,clean,clean_4
150,unused_signal,unused_93
151,syntax_error,syntax_18
152,clean,clean_7
153,blocking_misuse,blocking_64
154,missing_default,case_13
155,clean,clean_16
156,width_mismatch,width_46
157,multi_driver,mdrv_24
158,multi_driver,mdrv_37
159,clean,clean_8
160,clean,clean_16
161,missing_default,case_64
162,latch_inference,latch_62
163,comb_loop,loop_21
164,missing_default,case_33
165,clean,clean_2
166,width_mismatch,width_6
167,comb_loop,loop_27
168,width_mismatch,width_14
169,latch_inference,latch_4
170,clean,clean_18
171,latch_inference,latch_33
172,clean,clean_9
173,comb_loop,loop_19
174,clean,clean_8
175,syntax_error,syntax_38
176,missing_default,case_0
177,syntax_error,syntax_50
178,latch_inference,latch_4
179,blocking_misuse,blocking_72
180,width_mismatch,width_105
181,latch_inference,latch_61
182,multi_driver,mdrv_32
183,missing_default,case_55
184,clean,clean_4
185,comb_loop,loop_24
186,blocking_misuse,blocking_35
187,latch_inference,latch_74
188,clean,clean_6
189,clean,clean_18
190,comb_loop,loop_13
191,unused_signal,unused_92
192,latch_inference,latch_9
193,clean,clean_5
194,blocking_misuse,blocking_68
195,unused_signal,unused_103
196,latch_inference,latch_12
197,missing_default,case_18
198,multi_driver,mdrv_5
199,clean,clean_0
200,missing_default,case_63
201,syntax_error,syntax_18
202,clean,clean_2
203,comb_loop,loop_41
204,clean,clean_11
205,width_mismatch,width_99
206,latch_inference,latch_77
207,comb_loop,loop_99
208,multi_driver,mdrv_6
209,width_mismatch,width_115
210,blocking_misuse,blocking_74
211,missing_default,case_11
212,width_mismatch,width_5
213,multi_driver,mdrv_14
214,clean,clean_0
215,missing_default,case_25
216,latch_inference,latch_13
217,latch_inference,latch_22
218,blocking_misuse,blocking_25
219,missing_default,case_4
220,missing_default,case_0
221,latch_inference,latch_48
222,multi_driver,mdrv_49
223,width_mismatch,width_66
224,width_mismatch,width_83
225,latch_inference,latch_12
226,clean,clean_17
227,comb_loop,loop_3
228,comb_loop,loop_108
229,clean,clean_9
230,missing_default,case_38
231,multi_driver,mdrv_100
232,multi_driver,mdrv_5
233,missing_default,case_63
234,comb_loop,loop_55
235,width_mismatch,width_108
236,latch_inference,latch_41
237,unused_signal,unused_33
238,clean,clean_10
239,multi_driver,mdrv_102
240,unused_signal,unused_77
241,width_mismatch,width_79
242,width_mismatch,width_8
243,multi_driver,mdrv_45
244,comb_loop,loop_8
245,unused_signal,unused_66
246,clean,clean_3
247,clean,clean_18
248,comb_loop,loop_59
249,multi_driver,mdrv_6
250,latch_inference,latch_42
251,blocking_misuse,blocking_18
252,clean,clean_5
253,width_mismatch,width_81
254,width_mismatch,width_94
255,multi_driver,mdrv_118
256,missing_default,case_46
257,unused_signal,unused_44
258,clean,clean_17
259,multi_driver,mdrv_0
260,unused_signal,unused_100
261,latch_inference,latch_68
262,clean,clean_19
263,clean,clean_15
264,width_mismatch,width_103
265,latch_inference,latch_10
266,unused_signal,unused_106
267,width_mismatch,width_72
268,width_mismatch,width_114
269,unused_signal,unused_99
270,clean,clean_3
271,blocking_misuse,blocking_67
272,blocking_misuse,blocking_18
273,blocking_misuse,blocking_15
274,unused_signal,unused_113
275,clean,clean_14
276,latch_inference,latch_0
277,width_mismatch,width_61
278,missing_default,case_56
279,latch_inference,latch_71
280,comb_loop,loop_110
281,comb_loop,loop_9
282,clean,clean_4
283,width_mismatch,width_69
284,latch_inference,latch_72
285,comb_loop,loop_96
286,unused_signal,unused_97
287,comb_loop,loop_25
288,syntax_error,syntax_48
289,comb_loop,loop_40
290,comb_loop,loop_7
291,multi_driver,mdrv_94
292,missing_default,case_0
293,unused_signal,unused_44
294,missing_default,case_45
295,clean,clean_12
296,multi_driver,mdrv_29
297,latch_inference,latch_11
298,latch_inference,latch_78
299,latch_inference,latch_37
300,unused_signal,unused_83
301,syntax_error,syntax_72
302,clean,clean_14
303,width_mismatch,width_78
304,clean,clean_9
305,width_mismatch,width_22
306,clean,clean_5
307,width_mismatch,width_84
308,clean,clean_18
309,comb_loop,loop_45
310,latch_inference,latch_56
311,unused_signal,unused_67
312,missing_default,case_28
313,latch_inference,latch_57
314,unused_signal,unused_71
315,comb_loop,loop_14
316,missing_default,case_68
317,multi_driver,mdrv_110
318,unused_signal,unused_104
319,multi_driver,mdrv_65
320,missing_default,case_52
321,clean,clean_6
322,clean,clean_13
323,multi_driver,mdrv_19
324,multi_driver,mdrv_86
325,unused_signal,unused_9
326,blocking_misuse,blocking_71
327,blocking_misuse,blocking_39
328,blocking_misuse,blocking_49
329,multi_driver,mdrv_69
330,missing_default,case_39
331,latch_inference,latch_60
332,comb_loop,loop_22
333,clean,clean_10
334,clean,clean_0
335,clean,clean_19
336,multi_driver,mdrv_78
337,clean,clean_14
338,width_mismatch,width_11
339,missing_default,case_62
340,multi_driver,mdrv_31
341,clean,clean_2
342,comb_loop,loop_89
343,comb_loop,loop_63
344,syntax_error,syntax_28
345,unused_signal,unused_103
346,width_mismatch,width_74
347,clean,clean_4
348,blocking_misuse,blocking_13
349,latch_inference,latch_25
350,clean,clean_19
351,blocking_misuse,blocking_68
352,syntax_error,syntax_62
353,syntax_error,syntax_8
354,comb_loop,loop_80
355,clean,clean_0
356,width_mismatch,width_79
357,comb_loop,loop_118
358,width_mismatch,width_3
359,comb_loop,loop_74
360,syntax_error,syntax_61
361,syntax_error,syntax_62
362,latch_inference,latch_47
363,multi_driver,mdrv_47
364,comb_loop,loop_16
365,blocking_misuse,blocking_32
366,missing_default,case_44
367,comb_loop,loop_64
368,multi_driver,mdrv_57
369,multi_driver,mdrv_25
370,missing_default,case_11
371,latch_inference,latch_7
372,clean,clean_15
373,latch_inference,latch_53
374,width_mismatch,width_106
375,width_mismatch,width_85
376,unused_signal,unused_62
377,clean,clean_0
378,syntax_error,syntax_76
379,unused_signal,unused_42
380,multi_driver,mdrv_21
381,latch_inference,latch_71
382,clean,clean_1
383,width_mismatch,width_16
384,missing_default,case_52
385,unused_signal,unused_102
386,clean,clean_8
387,blocking_misuse,blocking_4
388,blocking_misuse,blocking_64
389,multi_driver,mdrv_56
390,width_mismatch,width_58
391,comb_loop,loop_67
392,syntax_error,syntax_66
393,multi_driver,mdrv_114
394,clean,clean_18
395,clean,clean_12
396,blocking_misuse,blocking_65
397,clean,clean_3
398,width_mismatch,width_78
399,clean,clean_16
400,unused_signal,unused_51
401,clean,clean_1
402,missing_default,case_0
403,multi_driver,mdrv_85
404,comb_loop,loop_32
405,blocking_misuse,blocking_68
406,clean,clean_18
407,comb_loop,loop_111
408,unused_signal,unused_118
409,blocking_misuse,blocking_25
410,missing_default,case_79
411,unused_signal,unused_9
412,latch_inference,latch_72
413,multi_driver,mdrv_71
414,blocking_misuse,blocking_0
415,unused_signal,unused_52
416,unused_signal,unused_60
417,unused_signal,unused_14
418,clean,clean_15
419,comb_loop,loop_36
420,multi_driver,mdrv_3
421,latch_inference,latch_16
422,blocking_misuse,blocking_27
423,unused_signal,unused_42
424,unused_signal,unused_113
425,clean,clean_5
426,multi_driver,mdrv_34
427,clean,clean_4
428,multi_driver,mdrv_53
429,clean,clean_4
430,width_mismatch,width_46
431,latch_inference,latch_31
432,multi_driver,mdrv_2
433,clean,clean_11
434,clean,clean_6
435,width_mismatch,width_16
436,clean,clean_14
437,latch_inference,latch_29
438,syntax_error,syntax_8
439,clean,clean_6
440,latch_inference,latch_71
441,blocking_misuse,blocking_32
442,blocking_misuse,blocking_30
443,blocking_misuse,blocking_68
444,latch_inference,latch_23
445,blocking_misuse,blocking_59
446,blocking_misuse,blocking_52
447,latch_inference,latch_47
448,multi_driver,mdrv_77
449,clean,clean_8
450,clean,clean_14
451,width_mismatch,width_52
452,multi_driver,mdrv_42
453,multi_driver,mdrv_79
454,blocking_misuse,blocking_14
455,unused_signal,unused_26
456,clean,clean_10
457,syntax_error,syntax_18
458,multi_driver,mdrv_54
459,clean,clean_6
460,multi_driver,mdrv_17
461,width_mismatch,width_111
462,multi_driver,mdrv_28
463,clean,clean_7
464,multi_driver,mdrv_39
465,blocking_misuse,blocking_69
466,clean,clean_7
467,width_mismatch,width_29
468,latch_inference,latch_67
469,syntax_error,syntax_38
470,clean,clean_12
471,comb_loop,loop_107
472,clean,clean_14
473,syntax_error,syntax_18
474,unused_signal,unused_48
475,clean,clean_15
476,latch_inference,latch_21
477,latch_inference,latch_45
478,blocking_misuse,blocking_58
479,multi_driver,mdrv_48
480,width_mismatch,width_33
481,multi_driver,mdrv_7
482,clean,clean_15
483,blocking_misuse,blocking_30
484,clean,clean_2
485,clean,clean_11
486,clean,clean_5
487,width_mismatch,width_86
488,latch_inference,latch_56
489,width_mismatch,width_72
490,unused_signal,unused_37
491,unused_signal,unused_77
492,clean,clean_10
493,missing_default,case_59
494,clean,clean_9
495,clean,clean_13
496,blocking_misuse,blocking_62
497,blocking_misuse,blocking_75
498,clean,clean_12
499,unused_signal,unused_105
500,width_mismatch,width_82
501,clean,clean_15
502,multi_driver,mdrv_24
503,clean,clean_1
504,syntax_error,syntax_64
505,missing_default,case_44
506,missing_default,case_4
507,clean,clean_10
508,clean,clean_1
509,clean,clean_12
510,clean,clean_15
511,clean,clean_2
512,multi_driver,mdrv_113
513,comb_loop,loop_18
514,latch_inference,latch_23
515,clean,clean_3
516,missing_default,case_52
517,latch_inference,latch_72
518,comb_loop,loop_102
519,blocking_misuse,blocking_16
520,multi_driver,mdrv_11
521,multi_driver,mdrv_11
522,clean,clean_8
523,unused_signal,unused_72
524,clean,clean_3
525,clean,clean_5
526,blocking_misuse,blocking_40
527,comb_loop,loop_1
528,syntax_error,syntax_11
529,width_mismatch,width_106
530,clean,clean_8
531,latch_inference,latch_19
532,syntax_error,syntax_13
533,multi_driver,mdrv_32
534,clean,clean_19
535,clean,clean_4
536,comb_loop,loop_72
537,clean,clean_18
538,comb_loop,loop_70
539,blocking_misuse,blocking_15
540,unused_signal,unused_68
541,clean,clean_8
542,clean,clean_2
543,latch_inference,latch_78
544,missing_default,case_54
545,unused_signal,unused_62
546,clean,clean_6
547,comb_loop,loop_23
548,syntax_error,syntax_79
549,clean,clean_9
550,clean,clean_14
551,blocking_misuse,blocking_62
552,syntax_error,syntax_46
553,clean,clean_18
554,missing_default,case_15
555,clean,clean_15
556,comb_loop,loop_10
557,width_mismatch,width_37
558,unused_signal,unused_115
559,comb_loop,loop_39
560,latch_inference,latch_72
561,multi_driver,mdrv_101
562,unused_signal,unused_46
563,missing_default,case_29
564,clean,clean_16
565,width_mismatch,width_112
566,blocking_misuse,blocking_76
567,comb_loop,loop_60
568,clean,clean_8
569,missing_default,case_52
570,syntax_error,syntax_45
571,unused_signal,unused_84
572,multi_driver,mdrv_107
573,syntax_error,syntax_12
574,comb_loop,loop_24
575,blocking_misuse,blocking_29
576,width_mismatch,width_80
577,multi_driver,mdrv_67
578,width_mismatch,width_99
579,missing_default,case_5
580,unused_signal,unused_101
581,clean,clean_11
582,multi_driver,mdrv_14
583,clean,clean_17
584,latch_inference,latch_50
585,missing_default,case_20
586,clean,clean_12
587,multi_driver,mdrv_114
